Código,Nome,Preço,@Imagem
"258370,ESCAPULÁRIO PRATA 925 NOSSA SENHORA DE APARECIDA,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258370-1.jpg"
"258371,BRINCO PRATA 925 ENTRELAÇADO COM DETALHE PÉROLA,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258371-1.jpg"
"258372,BRINCO PRATA 925 MEIA BOLA EM RENDA ITALIANA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258372-1.jpg"
"258373,PINGENTE PRATA 925 CRUCIFIXO TRABALHADO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258373-1.jpg"
"258374,PINGENTE PRATA 925 CRUCIFIXO ABAULADO TRABALHADO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258374-1.jpg"
"258375,COLAR PRATA 925 TREVOS E CORAÇÃO EM ZIRCÔNIA,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258375-1.jpg"
"258376,BRINCO PRATA 925 CORAÇÃO EM RENDA ITALIANA,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258376-1.jpg"
"258377,BRINCO TRIO PRATA 925 FLOR,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258377-1.jpg"
"258378,""BRINCO TRIO PRATA 925 CORAÇÃO, FLOR E BORBOLETA"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258378-1.jpg"
"258379,""BRINCO TRIO PRATA 925 CORAÇÃO, QUADRADO E OVAL"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258379-1.jpg"
"258380,COLAR PRATA 925 CORAÇÕES LISOS E CRAVEJADOS,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258380-1.jpg"
"258381,""BRINCO TRIO PRATA 925 PONTO DE LUZ, NOSSA SENHORA DE APARECIDA E CORAÇÃO"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258381-1.jpg"
"258382,COLAR PRATA 925 ESTRELAS VAZADAS COM CORAÇÕES EM ZIRCÔNIA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258382-1.jpg"
"258383,BRINCO TRIO PRATA 925 CORAÇÃO EM RENDA ITALIANA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258383-1.jpg"
